"Time (s)","Channel 1 (V)","Channel 2 (V)"
-0.0051192614822547,-1.01111086991693,-2.57694336388968
-0.0051180114822547,-1.01477643482089,-2.57325306391326
-0.0051167614822547,-1.01844199972485,-2.57325306391326
-0.0051155114822547,-1.01477643482089,-2.57694336388968
-0.0051142614822547,-1.01111086991693,-2.57325306391326
-0.0051130114822547,-1.01477643482089,-2.57325306391326
-0.0051117614822547,-1.01111086991693,-2.57694336388968
-0.0051105114822547,-1.01111086991693,-2.57325306391326
-0.0051092614822547,-1.01477643482089,-2.57325306391326
-0.0051080114822547,-1.01844199972484,-2.57325306391326
-0.0051067614822547,-1.01111086991693,-2.5806336638661
-0.0051055114822547,-1.01111086991693,-2.5806336638661
-0.0051042614822547,-1.01111086991693,-2.5806336638661
-0.0051030114822547,-1.01111086991693,-2.57325306391326
-0.0051017614822547,-1.01111086991693,-2.57694336388968
-0.0051005114822547,-1.01477643482089,-2.57694336388968
-0.0050992614822547,-1.01844199972485,-2.57325306391326
-0.0050980114822547,-1.01477643482089,-2.57325306391326
-0.0050967614822547,-1.01477643482089,-2.57325306391326
-0.0050955114822547,-1.01477643482089,-2.57694336388968
-0.0050942614822547,-1.01111086991693,-2.57325306391326
-0.0050930114822547,-1.01111086991693,-2.57694336388968
-0.0050917614822547,-1.01111086991693,-2.57694336388968
-0.0050905114822547,-1.01477643482089,-2.56956276393684
-0.0050892614822547,-1.01477643482089,-2.57325306391326
-0.0050880114822547,-1.01111086991693,-2.57694336388968
-0.0050867614822547,-1.01477643482089,-2.5806336638661
-0.0050855114822547,-1.01844199972485,-2.57694336388968
-0.0050842614822547,-1.01477643482089,-2.57694336388968
-0.0050830114822547,-1.01477643482089,-2.57325306391326
-0.0050817614822547,-1.01477643482089,-2.57694336388968
-0.0050805114822547,-1.01111086991693,-2.57325306391326
-0.0050792614822547,-1.01477643482089,-2.57694336388968
-0.0050780114822547,-1.01111086991693,-2.57325306391326
-0.0050767614822547,-1.01111086991693,-2.57325306391326
-0.0050755114822547,-1.01111086991693,-2.57325306391326
-0.0050742614822547,-1.00744530501297,-2.56587246396042
-0.0050730114822547,-1.01111086991693,-2.57325306391326
-0.0050717614822547,-1.01111086991693,-2.57325306391326
-0.0050705114822547,-1.01477643482089,-2.57694336388968
-0.0050692614822547,-1.01477643482089,-2.57325306391326
-0.0050680114822547,-1.01477643482089,-2.57694336388968
-0.0050667614822547,-1.01111086991693,-2.56956276393684
-0.0050655114822547,-1.01844199972484,-2.57325306391326
-0.0050642614822547,-1.01111086991693,-2.57694336388968
-0.0050630114822547,-1.01477643482089,-2.57325306391326
-0.0050617614822547,-1.01111086991693,-2.57325306391326
-0.0050605114822547,-1.01111086991693,-2.5806336638661
-0.0050592614822547,-1.01111086991693,-2.57325306391326
-0.0050580114822547,-1.01477643482089,-2.57325306391326
-0.0050567614822547,-1.01844199972485,-2.57325306391326
-0.0050555114822547,-1.01477643482089,-2.57694336388968
-0.0050542614822547,-1.01477643482089,-2.57694336388968
-0.0050530114822547,-1.01111086991693,-2.57325306391326
-0.0050517614822547,-1.01477643482089,-2.57325306391326
-0.0050505114822547,-1.01477643482089,-2.57325306391326
-0.0050492614822547,-1.01477643482089,-2.57325306391326
-0.0050480114822547,-1.01477643482089,-2.57325306391326
-0.0050467614822547,-1.01111086991693,-2.57325306391326
-0.0050455114822547,-1.01477643482089,-2.5806336638661
-0.0050442614822547,-1.01844199972485,-2.57694336388968
-0.0050430114822547,-1.00744530501297,-2.57325306391326
-0.0050417614822547,-1.01844199972485,-2.57325306391326
-0.0050405114822547,-1.01477643482089,-2.57325306391326
-0.0050392614822547,-1.01477643482089,-2.57694336388968
-0.0050380114822547,-1.01111086991693,-2.57694336388968
-0.0050367614822547,-1.01477643482089,-2.57694336388968
-0.0050355114822547,-1.01111086991693,-2.57694336388968
-0.0050342614822547,-1.01477643482089,-2.57325306391326
-0.0050330114822547,-1.01111086991693,-2.56956276393684
-0.0050317614822547,-1.01477643482089,-2.57325306391326
-0.0050305114822547,-1.01477643482089,-2.57325306391326
-0.0050292614822547,-1.01477643482089,-2.57694336388968
-0.0050280114822547,-1.00744530501297,-2.57325306391326
-0.0050267614822547,-1.01111086991693,-2.57325306391326
-0.0050255114822547,-1.01477643482089,-2.57694336388968
-0.0050242614822547,-1.01111086991693,-2.57325306391326
-0.0050230114822547,-1.01477643482089,-2.56956276393684
-0.0050217614822547,-1.01477643482089,-2.56956276393684
-0.0050205114822547,-1.01111086991692,-2.57325306391326
-0.0050192614822547,-1.00744530501297,-2.56956276393684
-0.0050180114822547,-1.00744530501297,-2.57325306391326
-0.0050167614822547,-1.01111086991693,-2.57325306391326
-0.0050155114822547,-1.01477643482089,-2.57694336388968
-0.0050142614822547,-1.01477643482089,-2.57325306391326
-0.0050130114822547,-1.01477643482089,-2.57694336388968
-0.0050117614822547,-1.01844199972485,-2.56956276393684
